source,target
2343425496,132646210
1077863989202247681,132646210
132646210,980046830
980046830,132646210
132646210,364593753
132646210,823957466
132646210,964589615230337024
466894113,132646210
132646210,14065835
132646210,849902720827875330
849902720827875330,132646210
132646210,591797093
132646210,976373610
132646210,751506263792582656
109399833,132646210
132646210,16948477
2186834214,132646210
132646210,713164296604090368
713164296604090368,132646210
132646210,206743057
132646210,2986013849
2986013849,132646210
132646210,181720081
181720081,132646210
132646210,61449317
132646210,190821474
190821474,132646210
132646210,51215183
51215183,132646210
132646210,4652730673
4652730673,132646210
132646210,18932422
18932422,132646210
132646210,272065025
13360372,132646210
132646210,1598324696
1598324696,132646210
132646210,765548
3033312071,132646210
622716896,132646210
1107254048896548864,132646210
132646210,2867784412
2867784412,132646210
132646210,17743823
17743823,132646210
38048603,132646210
156322219,132646210
2847332414,132646210
1033944831918104576,132646210
132646210,71306406
1609328383,132646210
132646210,220145170
2579832252,132646210
132646210,2336440088
2336440088,132646210
132646210,36659063
36659063,132646210
132646210,54580934
54580934,132646210
269930404,132646210
132646210,138840988
2213823000,132646210
132646210,923649456981135367
923649456981135367,132646210
337745478,132646210
1099250750155354114,132646210
132646210,45123871
45123871,132646210
3943475233,132646210
132646210,16514335
16514335,132646210
132646210,3248357604
132646210,702309206
702309206,132646210
132646210,17018894
17018894,132646210
132646210,2615258306
2615258306,132646210
132646210,24897144
24897144,132646210
132646210,1081241209622822913
1081241209622822913,132646210
132646210,2239194271
891186338,132646210
132646210,47456957
47456957,132646210
132646210,86754006
86754006,132646210
1107588341124337666,132646210
132646210,91168371
112099606,132646210
1232460508160094209,132646210
2309104237,132646210
132646210,40576466
40576466,132646210
43641631,132646210
285332715,132646210
132646210,20499721
132646210,33838201
132646210,2155233830
2155233830,132646210
132646210,940445534556364800
132646210,11669522
132646210,2183611873
195719387,132646210
132646210,17707080
132646210,984208484328763395
984208484328763395,132646210
132646210,18464317
132646210,14048484
132646210,880523990883848192
880523990883848192,132646210
132646210,1187585868493537280
1187585868493537280,132646210
132646210,93655722
2893424886,132646210
132646210,626282563
626282563,132646210
132646210,984275749824638976
132646210,2273201773
44871098,132646210
132646210,2245759994
132646210,2226776658
2226776658,132646210
132646210,313207740
313207740,132646210
2189994866,132646210
132646210,82573938
132646210,1256240551118200835
1256240551118200835,132646210
3292784453,132646210
132646210,953752657
132646210,3865043177
3865043177,132646210
2512218333,132646210
151490538,132646210
617400195,132646210
132646210,2851178794
132646210,2341772972
4485809179,132646210
22289618,132646210
132646210,758771866500816896
758771866500816896,132646210
434835815,132646210
3243155048,132646210
132646210,887159288
887159288,132646210
132646210,242868086
242868086,132646210
11235202,132646210
33505544,132646210
709476815090413568,132646210
132646210,32193354
32193354,132646210
132646210,279084731
36927290,132646210
29639366,132646210
132646210,103546343
103546343,132646210
132646210,103989154
132646210,29959702
251614179,132646210
132646210,909404434723213312
132646210,70478255
1116622891,132646210
132646210,940901351759994880
940901351759994880,132646210
132646210,17118060
132646210,833967951447486465
896036165350019073,132646210
2438493248,132646210
132646210,5108051
132646210,934087003
934087003,132646210
132646210,862356144748204032
132646210,41828876
132646210,4228354103
4228354103,132646210
113339417,132646210
132646210,346400805
132646210,15750573
15750573,132646210
824886467721703425,132646210
748176824,132646210
132646210,829881163472916481
132646210,284099686
284099686,132646210
392248167,132646210
197608061,132646210
132646210,3077144869
1114432920121376768,132646210
132646210,7170942
132646210,135801478
135801478,132646210
159240329,132646210
